Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Weather Suite,,,,16-05-2025 19:19:01,16-05-2025 19:19:04,2.903s,PASSED
,,,,,,,
Test Cases/TC01_AirPollution,,,,16-05-2025 19:19:02,16-05-2025 19:19:04,2.356s,PASSED
"response = sendRequest(findTestObject(""Object Repository/API/Get_Current_Air_Pollution""))",,,,16-05-2025 19:19:02,16-05-2025 19:19:04,1.993s,PASSED
"verifyResponseStatusCode(response, 200)",,,,16-05-2025 19:19:04,16-05-2025 19:19:04,0.027s,PASSED
"verifyResponseStatusCodeInRange(response, 200, 299)",,,,16-05-2025 19:19:04,16-05-2025 19:19:04,0.024s,PASSED
,,,,,,,
Test Cases/TC01_WeatherForecast,,,,16-05-2025 19:19:04,16-05-2025 19:19:04,0.339s,PASSED
"response = sendRequest(findTestObject(""Object Repository/API/Get_5_Day_Weather""))",,,,16-05-2025 19:19:04,16-05-2025 19:19:04,0.132s,PASSED
"verifyResponseStatusCode(response, 200)",,,,16-05-2025 19:19:04,16-05-2025 19:19:04,0.006s,PASSED
"verifyElementPropertyValue(response, ""cod"", ""200"")",,,,16-05-2025 19:19:04,16-05-2025 19:19:04,0.087s,PASSED
"verifyResponseStatusCodeInRange(response, 200, 299)",,,,16-05-2025 19:19:04,16-05-2025 19:19:04,0.006s,PASSED
